Item ID	English	French	Italian	German	Swedish	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
htd_flametal_mace	Flametal Mace	Masse en Flamemetal	Mazza flametale	Flametal Streitkolben	Flametal spets	Mazo de Flametal	Пламенная булава	Flametal Mace	Флометална боздугана	Фламетал Мејс	Liekkailu	Flametal Mace	Flametal mace	Flametal Mace	Flametal topuz	Flametal Mace	Flametal Mace	Lángfájás	Plamene	Flametal Mace	Flametale knots	Mace Flametal	Mace Flametal	烈焰锤	フレイムメタル・メイス	플라미탈 메이스	फ्लेमेटल मेस	คทาฟลามิทัล	Flametal Mace	Flametal	Flametal mace	Φλαμέταλτος	Фламетални маце	Фламетальна булава
htd_flametal_mace_desc	A sturdy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.	Une masse robuste forgée avec du fer noir et un noyau de Surtling brûlant. Capable de briser et d'incinérer avec la même fureur.	Una mazza robusta forgiata con ferro scuro e un nucleo di surtling in fiamme. Capace di distruggere e incenerire con uguale furia.	Ein robuster Streitkolben, geschmiedet aus dunklem Eisen und einem brennenden Surtling-Kern. Kann mit gleicher Wut zerschmettern und verbrennen.	En robust mace smidd med mörkt järn och en brinnande surtlingkärna. Kan krossa och förbränna med lika raseri.	Una maza robusta forjada con hierro oscuro y un núcleo Surtling ardiente. Capaz de aplastar e incinerar con igual furia.	Крепкая булава, выкованная из темного железа и горящего ядра Сертлинга. Способен разбивать и испепелять с одинаковой яростью.	O mazăre robustă falsificată cu fier întunecat și un nucleu care se arde. Capabil să spargă și să incinere cu o furie egală.	Здрава боздуган, изковано с тъмно желязо и горящо ядро. Способен да разбие и изгаря с равна ярост.	Цврста мазница фалсификувана со темно железо и горење сурово јадро. Способни за разбивање и согорување со еднаков бес.	Tumma rauta ja palava ytimellä taottu tukeva nace. Pystyy murskaamaan ja polttamaan yhtä suurella raivolla.	En robust mace smed med mørkt jern og en brændende bølgende kerne. I stand til at smadre og forbrænde med lige raseri.	En solid mace smidd med mørkt jern og en brennende surtingkjerne. I stand til å knuse og forbrenne med lik raseri.	Traustur mace falsaður með dökku járni og brennandi kjarna. Fær um að mölva og brenna með jöfnum heift.	Koyu demir ve yanan bir çörek çekirdeği ile dövülmüş sağlam bir topuz. Eşit öfkeyle parçalanma ve yakma yeteneğine sahip.	Tvirta mace, suklastota su tamsia geležimi ir deganti sargybinė šerdis. Geba sutriuškinti ir sudeginti lygiaverčiu įniršiu.	Robustní palcát vykovaný z tmavého železa a hořícího jádra Surtling. Dokáže stejně zuřivě rozbíjet i spalovat.	Egy erős, sötét vasalóval kovácsolt, és égő, szélsőséges mag. Képes egyenlő haraggal összetörni és égetni.	Robustný palcát kovaný tmavým železom a horiacemu jadrovému jadru. Schopný rozbiť a spáliť s rovnakou zúrivosťou.	Solidna buła wykuta ciemnym żelazem i płonącym rdzeniem. Zdolne do rozbicia i spalania równą furią.	Een stevige knots gesmeed met donker ijzer en een brandende surtling -kern. In staat om te breken en te verbranden met gelijke woede.	Uma maça resistente forjada com ferro escuro e um núcleo de surtimento ardente. Capaz de esmagar e incinerar com igual fúria.	Uma maça resistente forjada com ferro escuro e um núcleo de surtimento ardente. Capaz de esmagar e incinerar com igual fúria.	用焰金属和颤动核心制造的非常重的单手锤。需要注意被烧伤。	炎金とサートリングコアで製造された頑丈な片手持ちメイス。ファイアーダンスに使えるかもしれない。	튼튼한 메이스는 어두운 철과 불타는 시골 코어로 단조되었습니다. 동등한 분노로 스매싱 및 소각 할 수 있습니다.	एक मजबूत गदा गहरे लोहे और एक जलती हुई कोर के साथ जाली है। समान रोष के साथ स्मैशिंग और इन्कनरिंग करने में सक्षम।	คทาที่แข็งแรงปลอมแปลงด้วยเหล็กสีเข้มและแกนกลางเผาไหม้ ความสามารถในการทุบและเผาด้วยความโกรธที่เท่าเทียมกัน	A sturdy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.	Čvrsta mace kovana s tamnim željezom i gorućom jezgrom. Sposoban za razbijanje i spaljivanje jednakim bijesom.	მუქი რკინით და დამწვარი ბირთვით გაყალბებული მყარი მაისი. შეუძლია გაანადგუროს და თანაბარი მრისხანებით დააზარალოს.	Ένα ανθεκτικό μαχαίρι σφυρηλατήθηκε με σκοτεινό σίδηρο και έναν πυρήνα που καίγεται. Ικανό να σπάσει και να αποτεφρώσει με ίση μανία.	Чврсто маце ковано са тамним гвожђем и горњим језграма сагоревања. Способан да разбије и спаљивање са једнаким бесом.	Міцна булава, підроблена темним залізом і палаючим сердечником. Здатний розбити і спалювати рівною люттю.
htd_flametal_great_axe	Great Flametal Battleaxe	Grande hache de combat en Flamemetal	Grande battleaxe flametale	Große Flametal Streitaxt	Stor flametal battleaxe	Gran hacha de guerra de Flametal	Большой пламенный боевой топор	Mare flametal Battleaxe	Страхотен фламетален боен	Одлична фламетална борба	Suuri flametal Battleaxe	Great Flametal Battleaxe	Stor flametal Battleaxe	MIKLU Flametal Battleaxe	Büyük Flametal Battleaxe	Puikus „Flametal Battleaxe“	Velká plamenná bojová sekera	Nagy Flametal Battleaxe	Veľký plameňový battlexe	Great Flametal Battleaxe	Geweldige flametale battleaxe	Grande Battleaxe Flametal	Grande Battleaxe Flametal	烈焰战斧	フレイムメタル・グレートアックス	훌륭한 플라미탈 배트 리아	महान फ्लेमेटल बैटलैक्स	Battleaxe ที่ยอดเยี่ยม	Great Flametal Battleaxe	Velika flametalna bitka	დიდი flametal Battleaxe	Υπέροχη φλαμέταλα μάχη	Греат Фламетал Баттлеаке	Великий фламетальний битва
htd_flametal_great_axe_desc	An extremely heavy battleaxe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.	Une hache de combat extrêmement lourde forgée avec du fer noir et un noyau de Surtling brûlant. Il tranche et grésille d'une chaleur tumultueuse.	Un battleax estremamente pesante forgiato con ferro scuro e un nucleo di surtling in fiamme. Si taglia e sfrigola con un calore tempestoso.	Eine extrem schwere, aus dunklem Eisen geschmiedete Streitaxt mit einem brennenden Surtling-Kern. Es schneidet und brutzelt mit stürmischer Hitze.	En extremt tung Battleax smidd med mörkt järn och en brinnande surtkärna. Det skivar och fräsar med en stormig värme.	Un hacha de batalla extremadamente pesada forjada con hierro oscuro y un núcleo Surtling ardiente. Corta y chisporrotea con un calor tempestuoso.	Чрезвычайно тяжелый боевой топор, выкованный из темного железа и горящего ядра Сертлинга. Он режется и шипит от бурного жара.	Un battleaxe extrem de greu forjat cu fier întunecat și un nucleu arzător. Felies și se zvâcnește cu o căldură tempestă.	Изключително тежка бойна, изкована с тъмно желязо и горящо ядро. Нарязва се и кипи с бурна топлина.	Екстремно тежок Battleaxe фалсификуван со темно железо и горење сурово јадро. Парчиња и се гушкаат со временска топлина.	Erittäin raskas battleaxe, joka on taottu tummalla raudalla ja palavalla surkeisella ytimellä. Se viipaloi ja sizzles, jossa on häikäisevä lämmö.	En ekstremt tung battleaxe smed med mørkt jern og en brændende burende kerne. Det skiver og svirrer med en stormfuld varme.	En ekstremt tung Battleaxe smidd med mørkt jern og en brennende surt Core. Den skiver og surrer med en stormholdig varme.	Einstaklega þungur battleaxe falsaður með dökku járni og brennandi kjarna. Það sneið og sizzles með stormasömum hita.	Koyu demir ve yanan bir çörek çekirdeği ile dövülmüş son derece ağır bir savaş. Fırtınalı bir ısı ile dilimler ve cızırtı.	Ypač sunkus mūšis, suklastotas su tamsia geležimi ir deginančia šerdies šerdimi. Jis supjaustytas ir slinda su gausiomis šilumomis.	Extrémně těžká bojová sekera ukovaná z tmavého železa a hořícího jádra Surtling. Seká a syčí bouřlivým žárem.	Egy rendkívül nehéz battleax, sötét vas és égő, surtling mag kovácsolása. Szeletel és sizzol egy zavaró hővel.	Mimoriadne ťažký battleaxe kovaný tmavým železom a horiacemu jadru. Plátí a prská ​​s búrlivým teplom.	Niezwykle ciężki Battleaxe wykuty ciemnym żelazem i płonącym rdzeniem. Kroi i skwierczy burzliwym ciepłem.	Een extreem zware battleaxe gesmeed met donker ijzer en een brandende surtling -kern. Het snijdt en sist met een stormachtige hitte.	Um batalhão extremamente pesado forjado com ferro escuro e um núcleo de surtimento ardente. Ele corta e chia com um calor tempestuoso.	Um batalhão extremamente pesado forjado com ferro escuro e um núcleo de surtimento ardente. Ele corta e chia com um calor tempestuoso.	用焰金属和颤动核心制造的非常重的双手战斧。需要注意被烧伤。	炎金とサードリングコアで製造された両手斧。イフリートバトルアックスではない。	어두운 철과 불타는 시어로 위조 된 극도로 무거운 전함. 그것은 격렬한 열로 슬라이스하고 지글 지글합니다.	एक बेहद भारी बैटलएक्स ने गहरे लोहे और एक जलते हुए कोर के साथ जाली। यह एक अस्थायी गर्मी के साथ स्लाइस और सीज़ करता है।	Battleaxe ที่หนักมากปลอมแปลงด้วยเหล็กสีเข้มและแกนกลางเผาไหม้ มันหั่นและเสียงดังด้วยความร้อนที่พายุ	An extremely heavy battleaxe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.	Izuzetno teška borba kovana tamnim željezom i gorućom jezgrom. Slida i zasja se s burnom toplinom.	უკიდურესად მძიმე საბრძოლო ყალბი ყალბი მუქი რკინით და დამწვარი ბირთვით. ის ნაჭრებად და ღრიალებს ატარებს მაცდური სითბოს.	Ένα εξαιρετικά βαρύ battleaxe σφυρηλατημένο με σκοτεινό σίδερο και έναν καυτή surtling πυρήνα. Είναι φέτες και σάλτσες με θύελλα.	Изузетно тешка баттлеаке кована тамно гвожђем и горње језгре за сироње. Очишта се и врти се бураћом топлотом.	Надзвичайно важкий BattleAxe, підроблений темним залізом і палаючим серцевиною. Він шматочки і шипить бурхливим теплом.
htd_flametal_axe	Flametal Axe	Hache de combat en Flamemetal	Ascia flametale	Flametal Axt	Flametalsax	Hacha de Flametal	Пламенный топор	Topor flametal	Флометална брадва	Фламетална секира	Flametal -kirves	Flametaløks	Flametal øks	Flametal öxi	Flametal balta	Flametalinis kirvis	Plamenná sekera	Lángfej	Plameňová sekera	Topór flametalu	Flametale bijl	Machado flametal	Machado flametal	烈焰斧	フレイムメタル・アクス	화염 도끼	फ्लेमेटल कुल्हाड़ी	ขวานฟลามิทัล	Flametal Axe	Flametalna sjekira	Flametal Ax	Φλαμέτας τσεκούρι	Пламетална секира	Фламетальна сокира
htd_flametal_axe_desc	A sturdy axe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.	Une hache robuste forgée avec du fer noir et un noyau de Surtling brûlant. Il tranche et grésille d'une chaleur tumultueuse.	Un'ascia robusta forgiata con ferro scuro e un nucleo di surtling in fiamme. Si taglia e sfrigola con un calore tempestoso.	Eine robuste Axt, geschmiedet aus dunklem Eisen und einem brennenden Surtling-Kern. Es schneidet und brutzelt mit stürmischer Hitze.	En robust yxa smidd med mörkt järn och en brinnande surtlingkärna. Det skivar och fräsar med en stormig värme.	Un hacha robusta forjada con hierro oscuro y un núcleo Surtling ardiente. Corta y chisporrotea con un calor tempestuoso.	Крепкий топор, выкованный из темного железа и горящего ядра Сертлинга. Он режется и шипит от бурного жара.	Un topor robust forjat cu fier întunecat și un miez care arde în sus. Felies și se zvâcnește cu o căldură tempestă.	Здрава брадва, изкована с тъмно желязо и горящо ядро. Нарязва се и кипи с бурна топлина.	Цврста секира фалсификувана со темно железо и горење сурлинг јадро. Парчиња и се гушкаат со временска топлина.	Tukeva kirves, joka on taottu tummalla raudalla ja polttava surkea ydin. Se viipaloi ja sizzles, jossa on häikäisevä lämmö.	En robust øks smedet med mørkt jern og en brændende bølgende kerne. Det skiver og svirrer med en stormfuld varme.	En solid øks smidd med mørkt jern og en brennende surtingkjerne. Den skiver og surrer med en stormholdig varme.	Traustur öxi falsaður með dökku járni og brennandi kjarna. Það sneið og sizzles með stormasömum hita.	Koyu demir ve yanan bir tutkun çekirdeği ile dövülmüş sağlam bir balta. Fırtınalı bir ısı ile dilimler ve cızırtı.	Tvirtas kirvis, suklastotas su tamsia geležimi ir deganti sargybinė šerdis. Jis supjaustytas ir slinda su gausiomis šilumomis.	Pevná sekera ukovaná z tmavého železa s hořícím jádrem Surtling. Seká a syčí bouřlivým žárem.	Egy erős fejsze, sötét vas és egy égő, szélsőséges mag kovácsolt fejsze. Szeletel és sizzol egy zavaró hővel.	Robustná sekera kovaná tmavou žehličkou a horiacemu jadrovému jadru. Plátí a prská ​​s búrlivým teplom.	Solidny topór wykuty ciemnym żelazem i płonącym rdzeniem. Kroi i skwierczy burzliwym ciepłem.	Een stevige bijl gesmeed met donker ijzer en een brandende surtling -kern. Het snijdt en sist met een stormachtige hitte.	Um machado resistente forjado com ferro escuro e um núcleo de surtimento ardente. Ele corta e chia com um calor tempestuoso.	Um machado resistente forjado com ferro escuro e um núcleo de surtimento ardente. Ele corta e chia com um calor tempestuoso.	坚固的斧头用深铁和燃烧的潮汐芯锻造。它用狂热的热量切成薄片和嘶嘶作响。	炎金とサードリングコアで製造された片手斧。切断に核熱と二役できるが連携はしない。	튼튼한 도끼는 어두운 철과 불타는 시골 코어로 만들어졌습니다. 그것은 격렬한 열로 슬라이스하고 지글 지글합니다.	एक मजबूत कुल्हाड़ी गहरे लोहे और एक जलती हुई कोर के साथ जाली है। यह एक अस्थायी गर्मी के साथ स्लाइस और सीज़ करता है।	ขวานที่แข็งแรงปลอมแปลงด้วยเหล็กสีเข้มและแกนกลางเผาไหม้ มันหั่นและเสียงดังด้วยความร้อนที่พายุ	A sturdy axe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.	Čvrsta sjekira kovana tamnim željezom i goruća jezgra. Slida i zasja se s burnom toplinom.	მტკიცე ცული გაყალბებულია მუქი რკინით და დამწვარი ბირთვით. ის ნაჭრებად და ღრიალებს ატარებს მაცდური სითბოს.	Ένα ανθεκτικό τσεκούρι σφυρηλατήθηκε με σκοτεινό σίδηρο και έναν πυρήνα καύσης. Είναι φέτες και σάλτσες με θύελλα.	Чврста секира кована са тамним гвожђем и горњим језграма сагоревања. Очишта се и врти се бураћом топлотом.	Міцна сокира, кована темним залізом і палаючим сердечником. Він шматочки і шипить бурхливим теплом.
htd_bone_great_mace	Death Grip	Emprise de l'immortel	Presa mortale	Griff des Unsterblichen	Dödsgrepp	Agarre del Inmortal	Хватка бессмертного	Morți de moarte	Смъртен хват	Смртна зафат	Kuoleman ote	Dødsgreb	Dødsgrep	Dauðagreip	Ölümsüz Kavrama	Mirties sukibimas	Smrtící stisk	Halált fogás	Uchopenie smrti	Uścisk śmierci	Grip van Onsterfelijkheid	Aperto de morte	Alcance dos Imortais	不死之握	デスグリップ	불사의 손아귀	गहरी पकड़	Death Grip	Death Grip	Smrt	სიკვდილის ძალა	Λαβή θανάτου	Стисак смрти	Зачеплення
htd_bone_great_mace_desc	Forged from the remains of a troll cursed with undeath, the severed arm clings tightly to its still-beating heart. The blood it pumps is fetid and rotten, rendering it highly toxic to the touch.	Le cœur d'un troll maudit par les morts-vivants, tenu par son bras tranché. Son coeur est alimenté par du sang toxique, le conservant dans un état de non-mort.	Forgiato dai resti di un troll maledetto con non naturale, il braccio reciso si aggrappa strettamente al suo cuore ancora da battito. Il sangue che pompa è fetido e marcio, rendendolo altamente tossico per il tatto.	Das Herz eines vom Untod verfluchten Trolls, dessen abgetrennter Arm das immer noch schlagende Herz umfasst, das giftiges Blut pumpt, für immer in einem Zustand des Unsterblichen gefangen.	Forged från resterna av ett troll förbjudet med undream, klamrar den avskurna armen tätt till dess fortfarande slagande hjärta. Blodet pumpar är fetid och ruttet, vilket gör det mycket giftigt för beröringen.	El corazón de un troll maldecido con la no-muerte. Su brazo cercenado sostiene fuertemente el corazón que aún bombea sangre tóxica, atrapado eternamente en un estado inmortal.	Сердце тролля, проклятое на бессмертие, её отрубленная рука будет вечно сжимать все еще бьющееся сердце, которое до сих пор качает ядовитую кровь.	Forizat de la rămășițele unui troll blestemat cu dezlegarea, brațul tăiat se agață strâns de inima sa încă bătută. Sângele pe care îl pompează este fetid și putred, ceea ce îl face foarte toxic pentru atingere.	Изкована от останките на трол, прокълнат с нечовек, отсечената ръка се притиска плътно към все още биещото си сърце. Кръвта, която изпомпва, е фетидна и гнила, което я прави силно токсичен на допир.	Фалсификувани од остатоците од трол проколнат со нед. Крвта што ја пумпа е фетидна и расипана, што ја прави многу токсична на допир.	Katkaistu käsivarsi tarttuu tiukasti edelleen lyövään sydämeen, joka on taottu upotettuun upotetun peikon jäänteistä. Veri, jonka se pumppaa, on fetidi ja mätä, mikä tekee siitä erittäin myrkyllisen kosketukselle.	Faldet fra resterne af et trold forbandet med under, klæber den afskårne arm sig tæt på sit stadig slag. Blodet, det pumper, er fet og rådne, hvilket gør det meget giftigt at røre ved.	Den avskårne armen er smidd fra restene av et troll forbannet med underet, og klamrer seg fast til det fortsatt slående hjertet. Blodet den pumper er fet og råttent, noe som gjør det svært giftig for berøringen.	Borgað úr leifum trölls bölvað með undirliggjandi, losnar armurinn þétt við enn sláandi hjarta hans. Blóðið sem það dælir er fóstur og rotið og gerir það mjög eitrað fyrir snertingu.	Ölümle lanetlenmiş bir trolün kalbi, kopmuş kolu zehirli kan pompalayan ve sonsuza dek ölümsüz bir durumda kapana kısılmış, hala atan kalbi kavradı.	Suklastota nuo trolio liekanų, keiktų su Undeath, nuskirta ranka tvirtai priglunda prie vis dar plakančios širdies. Kraujas, kurį jis siurbia, yra nuožmus ir supuvęs, todėl jis tampa labai toksiškas liečiant.	Useknutá ruka, vykovaná z ostatků trolla prokletého nesmrtelností, se pevně drží jeho stále bijícího srdce. Krev, kterou pumpuje, je páchnoucí a zkažená, takže je na dotek vysoce toxická.	Az átkozott troll maradványaiból kovácsolva, a levágott kar szorosan ragaszkodik a még mindig verő szívéhez. A vér, amelyet pumpál, heves és rothadt, és nagyon mérgezővé teszi az érintést.	Oddelené rameno sa pevne priliehala zo zvyškov trolla prekliaty unedatom. Krv, ktorú čerpá, je plodná a zhnitá, čo je na dotyk vysoko toxický.	Wykute z pozostałości trolla przeklętego u nie do końca, odcięte ramię przylega ciasno do jego wciąż bitowanego serca. Krew, którą pompuje, jest cuchnąca i zgniła, co czyni ją bardzo toksyczną w dotyku.	Gesmeed van de overblijfselen van een trol vervloekt met Undeat, klopt de afgehakte arm zich stevig vast aan het nog steeds kloppende hart. Het bloed dat het pompt is stinkend en verrot, waardoor het zeer giftig voor aanraking wordt.	Forjados dos restos de um troll amaldiçoado com morto, o braço cortado se apega firmemente ao seu coração ainda batido. O sangue que bombeia é fétido e podre, tornando -o altamente tóxico para o toque.	O coração de um troll amaldiçoado com mortos-vivos, seu braço decepado agarrando o coração ainda batendo que bombeia sangue tóxico, para sempre preso em um estado de imortalidade.	巨魔的心脏被亡灵诅咒，它被切断的手臂抓住了仍在跳动的心脏，泵出有毒血液，永远被困在不死的状态中。	不死を呪われたトロールの遺体から鍛造され、切断された腕はまだ鼓動する心臓にしっかりとしがみついている。脈打つ血は腐敗しており、触ると非常に危険である。	언데드의 저주를 받은 트롤의 심장, 잘려진 팔이 유독 피를 뿜어내고 여전히 고동치는 심장을 움켜쥐고 영원히 불사 상태에 갇힙니다.	एक ट्रोल के अवशेषों से जाली, जो कि नीचे के साथ शापित है, अलग-अलग हाथ से कसकर उसके अभी भी धड़कते हुए दिल के लिए कसकर। यह पंप करने वाला रक्त भ्रूण और सड़ा हुआ है, इसे स्पर्श के लिए अत्यधिक विषाक्त प्रदान करता है।	ปลอมแปลงจากซากศพของโทรลล์สาปแช่งด้วยข้างใต้แขนที่ถูกตัดยึดแน่นเข้ากับหัวใจที่ยังคงเต้นแน่น เลือดที่ปั๊มนั้นมีความวุ่นวายและเน่าเสียทำให้มันเป็นพิษอย่างมากต่อการสัมผัส	Forged from the remains of a troll cursed with undeath, the severed arm clings tightly to its still-beating heart. The blood it pumps is fetid and rotten, rendering it highly toxic to the touch.	Krenuti od ostataka trola prokletog umanjenom, odsječena ruka čvrsto se pričvršćuje u njegovo još uvijek udarnu srcu. Krv koju pumpa je fetidna i trula, čineći je vrlo toksičnom na dodir.	ყალბი ტროელის ნაშთებიდან, რომელიც წყევლა undeath, გაჭრილი მკლავი მჭიდროდ მიემართება მის ჯერ კიდევ ცემულ გულს. მისი ტუმბოების სისხლი არის ნაყოფი და დამპალი, რაც მას ტოქსიკური გახდის შეხებას.	Σφυρηλατημένο από τα υπολείμματα ενός συρτή που καταραμένο με κάτω, ο κομμένος βραχίονας προσκολλάται σφιχτά στην καρδιά του. Το αίμα που αντλεί είναι φρικτό και σάπιο, καθιστώντας το εξαιρετικά τοξικό στην αφή.	Копано из остатака трола проклето је закривљено, одсечена рука чврсто се држи на своје још увек куцање срца. Крв ИТ пумпе је фетид и трула, пружајући га високо токсичним за додир.	Зроблений з залишків троля, проклятого неочистом, розірвана рука щільно чіпляється за її все ще битих серця. Кров, яку вона накачує, є пригніченою і гнилою, роблячи її високотоксичною на дотик.
htd_obsidian_great_sword	Moder's Sorrow	Le chagrin de Moder	Il dolore di Moder	Mutters Kummer	Moders sorg	Lamento de Moder	Скорбь Матери	Întristarea lui Moder	Скръб на Модър	Тага на модерот	Moderin suru	Moderens sorg	Moders sorg	Sorg Moder	Moder'in Kederi	Moderio liūdesys	Moderův zármutek	Moder bánat	Moderov smútok	Moder's Smor	Moder's Leed	Tristeza do moderno	Tristeza de Moder	远古之息	モーダーの嘆き	모더의 슬픔	मोडर का दुःख	Moder's Sorrow	Moder's Sorrow	Moderova tuga	მოდერის მწუხარება	Θλίψη του Moder	Модерна туга	Скорбота Модер
htd_obsidian_great_sword_desc	The lamentable misery of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.	L'affliction de Moder rendu tangible au travers d'une lame massive, conçue à partir d'obsidienne et insufflé du blizzard des montagnes. Ceux qui manient cette épé peuvent geler l'âme de ceux qu'ils frappent.	La deplorevole miseria della madre dei draghi, gettata in ossidiana e si manifestò nel respiro delle montagne. Il suo morso può congelare le anime dei suoi nemici.	Mutters Kummer wurde durch Obsidian und den Hauch der Berge in einer massiven Klinge greifbar. Diejenigen, die dies ausüben, können die Seelen derer, die sie treffen, einfrieren.	Den beklagliga elände av drakmoren, kastade i Obsidian och visade sig i bergen. Hennes bett kan frysa själva själarna i hennes fiender.	El lamento de Moder se hizo tangible a través de una cuchilla hecha con la obsidiana y el frío aliento de la montaña. Se dice que su golpe puede congelar el alma de sus rivales al impacto.	В этом огромном обсидиановом мече ощущается дыхание гор и огромная скорбь Матери по ее детям. Его холод может заморозить даже самые сильные души.	Mizeria lamentabilă a mamei dragonilor, aruncată în Obsidian și a făcut manifest în respirația munților. Mușcătura ei poate îngheța chiar sufletele dușmanilor ei.	Плачевното мизерия на майката на драконите, хвърлена в обсидиан и се проявява в дъха на планините. Ухапването й може да замрази самите души на враговете си.	За жалената мизерија на мајката на џинови, фрлена во опсидијан и се манифестира во здивот на планините. Нејзиниот залак може да ги замрзне самите души на нејзините непријатели.	Lohikäärmeiden äidin valitettava kurjuus, obsidiaaniin valettu ja ilmestyivät vuorten hengityksessä. Hänen purema voi jäädyttää vihollistensa sielut.	Den beklagelige elendighed af dragernes mor, kastet i Obsidian og gjorde manifest i bjergene. Hendes bid kan fryse selve sjæle fra hendes fjender.	Den beklagelige elendigheten til moren til drager, kastet på obsidian og gjorde manifestert i fjellets pust. Hennes bit kan fryse selve sjelene til fiendene hennes.	Harmakvein eymd móður drekanna, varpað í Obsidian og kom fram í andardrætti fjallanna. Bít hennar getur fryst mjög sálir óvina sinna.	Moder'in Kederi obsidiyen ve dağların nefesiyle somutlaştırıldı. Bunu kullananlar, vurdukları kişilerin ruhlarını dondurabilir.	Apgailestaujama drakonų motinos kančia, įmesta į Obsidianą ir pasireiškė kalnų kvėpavimu. Jos įkandimas gali užšaldyti pačias priešų sielas.	Žalostná bída Matky draků, odlitá z obsidiánu a zjevená v dechu hor. Její kousnutí dokáže zmrazit samotné duše nepřátel.	A sárkányok anyja sajnálatos szenvedése, obszidiánusba öntött és a hegyek lélegzetében nyilvánvalóvá vált. A harapása befagyaszthatja az ellenségei lelkét.	Príkaziteľné utrpenie matky drakov, obsadené v Obsidiáne a prejavili sa v dychu hôr. Jej uhryznutie môže zmraziť samotné duše jej nepriateľov.	Żałobna nędza matki smoków, rzucona w obsydian i objawiła się w tchu gór. Jej ugryzienie może zamrozić dusze jej wrogów.	De betreurenswaardige ellende van de moeder van Dragons, gegoten in obsidiaan en manifest gemaakt in de adem van de bergen. Haar beet kan de zielen van haar vijanden bevriezen.	A lamentável miséria da mãe dos dragões, lançada em obsidiana e se manifestou na respiração das montanhas. Sua mordida pode congelar as próprias almas de seus inimigos.	A tristeza de Moder se tornou tangível em uma lâmina enorme através da obsidiana e a respiração das montanhas. Aqueles que o empunham podem congelar as próprias almas de quem eles atingem.	远古英灵的悲痛之大，透过黑曜石和山间的气息，变得有形。 那些使用它的人可以冻结他们击中的人的灵魂。	ドラゴンの母の嘆きは黒曜石に鋳造され、山の息吹となって現れる。その噛みつきは、敵の魂を凍らせることができる。	모더의 슬픔 그것의 위대함은 흑요석과 산의 숨결을 통해 구체화되었습니다. 이것을 다루는자는 상대의 영혼을 얼어붙게 할 수 있습니다.	ड्रेगन की मां की विलाप करने योग्य दुख, ओब्सीडियन में डाली और पहाड़ों की सांस में प्रकट हुई। उसके काटने से उसके दुश्मनों की बहुत आत्मा हो सकती है।	ความทุกข์ยากที่น่าเศร้าของมารดาของมังกรได้รับการคัดเลือกใน Obsidian และแสดงให้เห็นอย่างชัดแจ้งในลมหายใจของภูเขา การกัดของเธอสามารถตรึงวิญญาณของศัตรูของเธอได้	The lamentable misery of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.	Žalosna bijeda Majke zmajeva, bačena u Obsidijanu i manifestirala se u dahu planina. Njezin ugriz može zamrznuti same duše svojih neprijatelja.	დრაკონების დედის სამწუხარო უბედურება, რომელიც ობსიდიანში იყო ჩასმული და მთების სუნთქვით გამოიხატა. მის ნაკბენს შეუძლია გაყინოს მისი მტრების სულები.	Η θλιβερή δυστυχία της μητέρας των Δράκων, που χυτεύεται στο Obsidian και έκανε φανερό στην αναπνοή των βουνών. Το δάγκωμα της μπορεί να παγώσει τις ίδιες τις ψυχές των εχθρών της.	Лагана биједа мајке змајева, бачена у обсидијан и манифестује се у даху планина. Њени угриз може замрзнути само душе својих непријатеља.	Сміття нещастя матері Драконів, кинуті в Обсидіані і проявляли подиху гір. Її укус може заморожувати самі душі її ворогів.
htd_flametal_great_sword	Flametal Zweihander	Espadon en métal stéllaire	Flametale Zweihander	Flametall Großschwert	Flametal zweiander	Gran espada de Flametal	Огненный длинный меч	Flametal Zweihander	Flametal Zweihander	Фламетал Звехандер	Flametal Zweihander	Flametal Zweihander	Flametal Zweihander	Flametal Zweihander	Oddemir Büyük Kılıç	Flametal Zweihander	Plamenné dvouručí	Lángos zweihander	Plamene zweihander	Flametal Zweihander	Vlammetaal Langzwaard	Flametal Zweihander	Grande Espada de Lumetal	烈焰巨剑	フレイムメタル・グレートソード・アサー	이그나이트	फ्लेमेटल ज़्वेहैंडर	Flametal Zweihander	Flametal Zweihander	Flametal zweihander	Flametal Zweihander	Φλαμέταλα zweihander	Фламетал Звеихандер	Фламетальний Zweihander
