Internal Name,Localized Name,Item Type,Description,Source Mod
"ArmorLeatherLegs","Leather Trousers","Armor","$item_legs_leather_description","Valheim"
"ArmorMageChest","Eitr-weave Robe","Armor","$item_chest_mage_description","Valheim"
"ArmorMageChest_Ashlands","Robes of Embla","Armor","$item_chest_mage_ashlands_description","Valheim"
"ArmorMageLegs","Eitr-weave Trousers","Armor","$item_legs_mage_description","Valheim"
"ArmorMageLegs_Ashlands","Trousers of Embla","Armor","$item_legs_mage_ashlands_description","Valheim"
"ArmorPaddedCuirass","Padded Cuirass","Armor","$item_chest_pcuirass_description","Valheim"
"ArmorPaddedGreaves","Padded Greaves","Armor","$item_legs_pgreaves_description","Valheim"
"ArmorRagsChest","Rag Tunic","Armor","$item_chest_rags_description","Valheim"
"ArmorRagsLegs","Rag Trousers","Armor","$item_legs_rags_description","Valheim"
"ArmorRootChest","Root Harnesk","Armor","$item_chest_pcuirass_description","Valheim"
"ArmorRootLegs","Root Leggings","Armor","$item_legs_root_description","Valheim"
"ArmorTrollLeatherChest","Troll Leather Tunic","Armor","$item_chest_trollleather_description","Valheim"
"ArmorTrollLeatherLegs","Troll Leather Trousers","Armor","$item_legs_trollleather_description","Valheim"
"ArmorTunic1","Plain Blue Tunic","Armor","$item_chest_tunic1_description","Valheim"
"ArmorTunic10","Simple Undyed Tunic","Armor","$item_chest_tunic10_description","Valheim"
"ArmorTunic2","Blue Tunic with Cape","Armor","$item_chest_tunic2_description","Valheim"
"ArmorTunic3","Blue Tunic with Beads","Armor","$item_chest_tunic3_description","Valheim"
"ArmorTunic4","Plain Red Tunic","Armor","$item_chest_tunic4_description","Valheim"
"ArmorTunic5","Red Tunic with Cape","Armor","$item_chest_tunic5_description","Valheim"
"ArmorTunic6","Red Tunic with Beads","Armor","$item_chest_tunic6_description","Valheim"
"ArmorTunic7","Plain Yellow Tunic","Armor","$item_chest_tunic7_description","Valheim"
"ArmorTunic8","Yellow Tunic with Cape","Armor","$item_chest_tunic8_description","Valheim"
"ArmorTunic9","Yellow Tunic with Beads","Armor","$item_chest_tunic9_description","Valheim"
"ArmorWolfChest","Wolf Hide Chestpiece","Armor","$item_chest_wolf_description","Valheim"
"ArmorWolfLegs","Wolf Hide Trousers","Armor","$item_legs_wolf_description","Valheim"
"ArrowBronze","Bronzehead Arrow","Item","$item_arrow_bronze_description","Valheim"
"ArrowCarapace","Carapace Arrow","Item","$item_arrow_carapace_description","Valheim"
"ArrowCharred","Charred Arrow","Item","$item_arrow_charred_description","Valheim"
"ArrowFire","Fire Arrow","Item","$item_arrow_fire_description","Valheim"
"ArrowFlint","Flinthead Arrow","Item","$item_arrow_flint_description","Valheim"
"ArrowFrost","Frost Arrow","Item","$item_arrow_frost_description","Valheim"
"ArrowIron","Ironhead Arrow","Item","$item_arrow_iron_description","Valheim"
"ArrowNeedle","Needle Arrow","Item","$item_arrow_needle_description","Valheim"
"ArrowObsidian","Obsidian Arrow","Item","$item_arrow_obsidian_description","Valheim"
"ArrowPoison","Poison Arrow","Item","$item_arrow_poison_description","Valheim"
"ArrowSilver","Silver Arrow","Item","$item_arrow_silver_description","Valheim"
"ArrowWood","Wood Arrow","Item","$item_arrow_wood_description","Valheim"
"AshCrow","AshCrow","Undefined","","Valheim"
"ashland_pot1_green","Ancient Pot","Undefined","","Valheim"
"ashland_pot1_red","Ancient Pot","Undefined","","Valheim"
"ashland_pot2_green","Ancient Pot","Undefined","","Valheim"
"ashland_pot2_red","Ancient Pot","Undefined","","Valheim"
"ashland_pot3_green","Ancient Pot","Undefined","","Valheim"
"ashland_pot3_red","Ancient Pot","Undefined","","Valheim"
"Ashland_Stair","Ashland_Stair","Undefined","","Valheim"
"Ashland_Steepstair","Ashland_Steepstair","Undefined","","Valheim"
"Ashlands_Altar","Ashlands_Altar","Undefined","","Valheim"
"Ashlands_Arch2_Broken1","Ashlands_Arch2_Broken1","Undefined","","Valheim"
"Ashlands_Arch2_Broken2","Ashlands_Arch2_Broken2","Undefined","","Valheim"
"Ashlands_ArchRoofDamaged","Ashlands_ArchRoofDamaged","Undefined","","Valheim"
"Ashlands_ArchRoofDamaged_half1","Ashlands_ArchRoofDamaged_half1","Undefined","","Valheim"
"Ashlands_ArchRoofDamaged_half2","Ashlands_ArchRoofDamaged_half2","Undefined","","Valheim"
"Ashlands_ArchRoofLong_Damaged","Ashlands_ArchRoofLong_Damaged","Undefined","","Valheim"
"Ashlands_Boss_Pillar","Ashlands_Boss_Pillar","Undefined","","Valheim"
"Ashlands_Boss_Pillar_Twist_broken1","Ashlands_Boss_Pillar_Twist_broken1","Undefined","","Valheim"
"Ashlands_Boss_Pillar_Twist_broken2","Ashlands_Boss_Pillar_Twist_broken2","Undefined","","Valheim"
"Ashlands_Boss_Pillar_Twist_broken3","Ashlands_Boss_Pillar_Twist_broken3","Undefined","","Valheim"
"Ashlands_Floor","Ashlands_Floor","Undefined","","Valheim"
"Ashlands_floor_large","Ashlands_floor_large","Undefined","","Valheim"
"Ashlands_floor_large_fractured","Ashlands_floor_large_fractured","Undefined","","Valheim"
"Ashlands_Fortress_Floor","Ashlands_Fortress_Floor","Undefined","","Valheim"
"Ashlands_Fortress_Wall_Pillar","Ashlands_Fortress_Wall_Pillar","Undefined","","Valheim"
"Ashlands_Fortress_Wall_Pillar_base","Ashlands_Fortress_Wall_Pillar_base","Undefined","","Valheim"
"Ashlands_Fortress_Wall_Pillar_base_frac","Ashlands_Fortress_Wall_Pillar_base_frac","Undefined","","Valheim"
"Ashlands_Fortress_Wall_Pillar_frac","Ashlands_Fortress_Wall_Pillar_frac","Undefined","","Valheim"
"Ashlands_Fortress_Wall_PillarTop","Ashlands_Fortress_Wall_PillarTop","Undefined","","Valheim"
"Ashlands_Fortress_Wall_PillarTop_frac","Ashlands_Fortress_Wall_PillarTop_frac","Undefined","","Valheim"
"Ashlands_Fortress_Wall_PillarTopStone","Ashlands_Fortress_Wall_PillarTopStone","Undefined","","Valheim"
"Ashlands_Fortress_Wall_PillarTopStone_frac","Ashlands_Fortress_Wall_PillarTopStone_frac","Undefined","","Valheim"
"Ashlands_Fortress_Wall_Spikes","Ashlands_Fortress_Wall_Spikes","Undefined","","Valheim"
"Ashlands_Pillar4","Ashlands_Pillar4","Undefined","","Valheim"
"Ashlands_Pillar4_tip_broken1","Ashlands_Pillar4_tip_broken1","Undefined","","Valheim"
"Ashlands_Pillar4_tip_broken2","Ashlands_Pillar4_tip_broken2","Undefined","","Valheim"
"Ashlands_Pillar4_tip2_broken1","Ashlands_Pillar4_tip2_broken1","Undefined","","Valheim"
"Ashlands_Pillar4_tip2_broken2","Ashlands_Pillar4_tip2_broken2","Undefined","","Valheim"
"Ashlands_Pillar4_tip3_broken1","Ashlands_Pillar4_tip3_broken1","Undefined","","Valheim"
"Ashlands_Pillar4_tip3_broken2","Ashlands_Pillar4_tip3_broken2","Undefined","","Valheim"
"Ashlands_Pillar4_tip3_broken3","Ashlands_Pillar4_tip3_broken3","Undefined","","Valheim"
"Ashlands_PillarBase3_double","Ashlands_PillarBase3_double","Undefined","","Valheim"
"Ashlands_rock1","Ashlands_rock1","Undefined","","Valheim"
"Ashlands_rock2","Ashlands_rock2","Undefined","","Valheim"
"Ashlands_Ruins_Floor_1point5x1point5","Ashlands_Ruins_Floor_1point5x1point5","Undefined","","Valheim"
"Ashlands_Ruins_Floor_1point5x1point5_broken","Ashlands_Ruins_Floor_1point5x1point5_broken","Undefined","","Valheim"
"Ashlands_Ruins_Floor_3x3","Ashlands_Ruins_Floor_3x3","Undefined","","Valheim"
"Ashlands_Ruins_Floor_3x3_broken1","Ashlands_Ruins_Floor_3x3_broken1","Undefined","","Valheim"
"Ashlands_Ruins_Floor_3x3_broken2","Ashlands_Ruins_Floor_3x3_broken2","Undefined","","Valheim"
"Ashlands_Ruins_Floor_3x3_broken3","Ashlands_Ruins_Floor_3x3_broken3","Undefined","","Valheim"
"Ashlands_Ruins_Floor_6x6","Ashlands_Ruins_Floor_6x6","Undefined","","Valheim"
"Ashlands_Ruins_Floor_6x6_broken1","Ashlands_Ruins_Floor_6x6_broken1","Undefined","","Valheim"
"Ashlands_Ruins_Floor_6x6_broken2","Ashlands_Ruins_Floor_6x6_broken2","Undefined","","Valheim"
"Ashlands_Ruins_Ramp","Ashlands_Ruins_Ramp","Undefined","","Valheim"
"Ashlands_Ruins_Ramp_Upsidedown","Ashlands_Ruins_Ramp_Upsidedown","Undefined","","Valheim"
"Ashlands_Ruins_TopStone","Ashlands_Ruins_TopStone","Undefined","","Valheim"
"Ashlands_Ruins_twist_ArchBig","Ashlands_Ruins_twist_ArchBig","Undefined","","Valheim"
"Ashlands_Ruins_twist_PillarBase","Ashlands_Ruins_twist_PillarBase","Undefined","","Valheim"
"Ashlands_Ruins_twist_PillarBaseSmall","Ashlands_Ruins_twist_PillarBaseSmall","Undefined","","Valheim"
"AshlandsBranch1","Log","Undefined","","Valheim"
"AshlandsBranch2","Branch","Undefined","","Valheim"
"AshlandsBranch3","Log","Undefined","","Valheim"
"AshlandsBush1","AshlandsBush1","Undefined","","Valheim"
"AshlandsBush2","AshlandsBush2","Undefined","","Valheim"
"AshlandsTree1","Scorched Tree","Undefined","","Valheim"
"AshlandsTree3","Scorched Tree","Undefined","","Valheim"
"AshlandsTree4","Scorched Tree","Undefined","","Valheim"
"AshlandsTree5","Scorched Tree","Undefined","","Valheim"
"AshlandsTree6","Scorched Tree","Undefined","","Valheim"
"AshlandsTree6_big","Scorched Tree","Undefined","","Valheim"
"AskBladder","Asksvin Bladder","Item","$item_askbladder_description","Valheim"
"AskHide","Asksvin Hide","Item","$item_askhide_description","Valheim"
"Asksvin","Asksvin","Creature","","Valheim"
"asksvin_carrion","asksvin_carrion","Undefined","","Valheim"
"asksvin_carrion2","asksvin_carrion2","Undefined","","Valheim"
"Asksvin_hatchling","Asksvin Hatchling","Creature","","Valheim"
"AsksvinCarrionNeck","Asksvin Neck","Item","$item_asksvincarrionneck_description","Valheim"
"AsksvinCarrionPelvic","Asksvin Pelvis","Item","$item_asksvincarrionpelvic_description","Valheim"
"AsksvinCarrionRibcage","Asksvin Ribcage","Item","$item_asksvincarrionribcage_description","Valheim"
"AsksvinCarrionSkull","Asksvin Skull","Item","$item_asksvincarrionskull_description","Valheim"
"AsksvinEgg","Asksvin Egg","Item","$item_asksvin_egg_description","Valheim"
"AsksvinMeat","Asksvin Tail","Item","$item_asksvin_meat_description","Valheim"
"AtgeirBlackmetal","Black Metal Atgeir","Weapon","$item_atgeir_blackmetal_description","Valheim"
"AtgeirBronze","Bronze Atgeir","Weapon","$item_atgeir_bronze_description","Valheim"
"AtgeirHimminAfl","Himminafl","Weapon","$item_atgeir_himminafl_description","Valheim"
"AtgeirIron","Iron Atgeir","Weapon","$item_atgeir_iron_description","Valheim"
"AxeBerzerkr","Berserkir Axes","Weapon","$item_axe_berzerkr_description","Valheim"
"AxeBerzerkrBlood","Bleeding Berserkir Axes","Weapon","$item_axe_berzerkr_blood_description","Valheim"
"AxeBerzerkrLightning","Thundering Berserkir Axes","Weapon","$item_axe_berzerkr_lightning_description","Valheim"
"AxeBerzerkrNature","Primal Berserkir Axes","Weapon","$item_axe_berzerkr_nature_description","Valheim"
"AxeBlackMetal","Black Metal Axe","Weapon","$item_axe_blackmetal_description","Valheim"
"AxeBronze","Bronze Axe","Weapon","$item_axe_bronze_description","Valheim"
"AxeFlint","Flint Axe","Weapon","$item_axe_flint_description","Valheim"
"AxeIron","Iron Axe","Weapon","$item_axe_iron_description","Valheim"
"AxeJotunBane","Jotun Bane","Weapon","$item_axe_jotunbane_description","Valheim"
"AxeStone","Stone Axe","Weapon","$item_axe_stone_description","Valheim"
"BarberKit","Barber Kit","Item","$item_barberkit_description","Valheim"
"Barley","Barley","Item","$item_barley_description","Valheim"
"BarleyFlour","Barley Flour","Item","$item_barleyflour_description","Valheim"
"BarleyWine","Fire Resistance Barley Wine","Food","$item_barleywine_description","Valheim"
"BarleyWineBase","Barley Wine Base: Fire Resistance","Item","$item_meadbase_description","Valheim"
"barrell","barrell","Undefined","","Valheim"
"BarrelRings","Barrel Hoops","Item","$item_barrelrings_description","Valheim"
"Bat","Bat","Creature","","Valheim"
"Battleaxe","Battleaxe","Weapon","$item_battleaxe_description","Valheim"
"BattleaxeCrystal","Crystal Battleaxe","Weapon","$item_battleaxe_crystal_description","Valheim"
"Beech_small1","Beech","Undefined","","Valheim"
"Beech_small2","Beech","Undefined","","Valheim"
"Beech1","Beech","Undefined","","Valheim"
"BeechSeeds","Beech Seeds","Item","$item_beechseeds_description","Valheim"
"Beehive","Beehive","Undefined","","Valheim"
"Bell","Bell","Item","$item_bell_description","Valheim"
"BellFragment","Bell Fragment","Item","$item_bellfragment_description","Valheim"
"BeltStrength","Megingjord","Item","$item_beltstrength_description","Valheim"
"Bilebag","Bilebag","Item","$item_bilebag_description","Valheim"
"Birch1","Birch","Undefined","","Valheim"
"Birch1_aut","Birch","Undefined","","Valheim"
"Birch2","Birch","Undefined","","Valheim"
"Birch2_aut","Birch","Undefined","","Valheim"
"BirchSeeds","Birch Seeds","Item","$item_birchseeds_description","Valheim"
"BlackCore","Black Core","Item","$item_blackcore_description","Valheim"
"BlackMarble","Black Marble","Item","$item_blackmarble_description","Valheim"
"blackmarble_altar_crystal","blackmarble_altar_crystal","Undefined","","Valheim"
"blackmarble_altar_crystal_broken","blackmarble_altar_crystal_broken","Undefined","","Valheim"
"blackmarble_post01","blackmarble_post01","Undefined","","Valheim"
"BlackMetal","Black Metal","Item","$item_blackmetal_description","Valheim"
"BlackMetalScrap","Black Metal Scrap","Item","$item_blackmetalscrap_description","Valheim"
"BlackSoup","Black Soup","Food","$item_blacksoup_description","Valheim"
"Blackwood","Ashwood","Item","$item_blackwood_description","Valheim"
"Blob","Blob","Creature","","Valheim"
"BlobElite","Oozer","Creature","","Valheim"
"BlobLava","Lava Blob","Creature","","Valheim"
"BlobTar","Growth","Creature","","Valheim"
"Bloodbag","Bloodbag","Item","$item_bloodbag_description","Valheim"
"BloodPudding","Blood Pudding","Food","$item_bloodpudding_description","Valheim"
"Blueberries","Blueberries","Food","$item_blueberries_description","Valheim"
"BlueberryBush","BlueberryBush","Undefined","","Valheim"
"Boar","Boar","Creature","","Valheim"
"Boar_piggy","Piggy","Creature","","Valheim"
"BoarJerky","Boar Jerky","Food","$item_boarjerky_description","Valheim"
"BogWitch","BogWitch","Undefined","","Valheim"
"BogWitchKvastur","Kvastur","Creature","","Valheim"
"BoltBlackmetal","Black Metal Bolt","Item","$item_bolt_blackmetal_description","Valheim"
"BoltBone","Bone Bolt","Item","$item_bolt_bone_description","Valheim"
"BoltCarapace","Carapace Bolt","Item","$item_bolt_carapace_description","Valheim"
"BoltCharred","Charred Bolt","Item","$item_bolt_charred_description","Valheim"
"BoltIron","Iron Bolt","Item","$item_bolt_iron_description","Valheim"
"BombBile","Bile Bomb","Weapon","$item_bilebomb_description","Valheim"
"BombLava","Basalt Bomb","Weapon","$item_lavabomb_description","Valheim"
"BombOoze","Ooze Bomb","Weapon","$item_oozebomb_description","Valheim"
"BombSiege","Explosive Payload","Item","$item_catapult_ammo_description","Valheim"
"BombSmoke","Smoke Bomb","Weapon","$item_smokebomb_description","Valheim"
"BoneFragments","Bone Fragments","Item","$item_bonefragments_description","Valheim"
"Bonemass","Bonemass","Creature","","Valheim"
"BonemawSerpent","Bonemaw","Creature","","Valheim"
"BoneMawSerpentMeat","Bonemaw Meat","Item","$item_bonemawmeat_description","Valheim"
"BonemawSerpentScale","Bonemaw Scale","Item","$item_bonemawscale_description","Valheim"
"BonemawSerpentTooth","Bonemaw Tooth","Item","$item_bonemawtooth_description","Valheim"
"Bow","Crude Bow","Weapon","$item_bow_description","Valheim"
"BowAshlands","Ash Fang","Weapon","$item_bow_ashlands_description","Valheim"
"BowAshlandsBlood","Blood Fang","Weapon","$item_bow_ashlandsblood_description","Valheim"
"BowAshlandsRoot","Root Fang","Weapon","$item_bow_ashlandsroot_description","Valheim"
"BowAshlandsStorm","Storm Fang","Weapon","$item_bow_ashlandsstorm_description","Valheim"
"BowDraugrFang","Draugr Fang","Weapon","$item_bow_draugrfang_description","Valheim"
"BowFineWood","Finewood Bow","Weapon","$item_bow_finewood_description","Valheim"
"BowHuntsman","Huntsman Bow","Weapon","$item_bow_huntsman_description","Valheim"
"BowSpineSnap","Spinesnap","Weapon","$item_bow_snipesnap_description","Valheim"
"Bread","Bread","Food","$item_bread_description","Valheim"
"BreadDough","Bread Dough","Item","$item_breaddough_description","Valheim"
"Bronze","Bronze","Item","$item_bronze_description","Valheim"
"BronzeNails","Bronze Nails","Item","$item_bronzenails_description","Valheim"
"BronzeScrap","Scrap Bronze","Item","$item_bronzescrap_description","Valheim"
"BugMeat","Seeker Meat","Item","$item_bug_meat_description","Valheim"
"Bush01","Bush01","Undefined","","Valheim"
"Bush01_heath","Bush01_heath","Undefined","","Valheim"
"Bush02_en","Bush02_en","Undefined","","Valheim"
"CandleWick","Candle Wick","Item","$item_candlewick_description","Valheim"
"CapeAsh","Ashen Cape","Armor","$item_cape_ash_description","Valheim"
"CapeAsksvin","Asksvin Cloak","Armor","$item_cape_asksvin_description","Valheim"
"CapeDeerHide","Deer Hide Cape","Armor","$item_cape_deerhide_description","Valheim"
"CapeFeather","Feather Cape","Armor","$item_cape_feather_description","Valheim"
"CapeLinen","Linen Cape","Armor","$item_cape_linen_description","Valheim"
"CapeLox","Lox Cape","Armor","$item_cape_lox_description","Valheim"
"CapeOdin","Cape of Odin","Armor","$item_cape_odin_description","Valheim"
"CapeTest","CAPE TEST","Armor","Da cape","Valheim"
"CapeTrollHide","Troll Hide Cape","Armor","$item_cape_trollhide_description","Valheim"
"CapeWolf","Wolf Fur Cape","Armor","$item_cape_wolf_description","Valheim"
"Carapace","Carapace","Item","$item_carapace_description","Valheim"
"Carrot","Carrot","Food","$item_carrot_description","Valheim"
"CarrotSeeds","Carrot Seeds","Item","$item_carrotseeds_description","Valheim"
"CarrotSoup","Carrot Soup","Food","$item_carrotsoup_description","Valheim"
"CastleKit_brazier","CastleKit_brazier","Undefined","","Valheim"
"Catapult_ammo","Grausten Payload","Item","$item_catapult_training_ammo_description","Valheim"
"CelestialFeather","Celestial Feather","Item","$item_celestialfeather_description","Valheim"
"CeramicPlate","Ceramic Plate","Item","$item_ceramicplate_description","Valheim"
"Chain","Chain","Item","$item_chain_description","Valheim"
"CharcoalResin","Charcoal Resin","Item","$item_charcoalresin_description","Valheim"
"Charred_altar_bellfragment","Charred_altar_bellfragment","Undefined","","Valheim"
"Charred_Archer","Charred Marksman","Creature","","Valheim"
"Charred_Archer_Fader","Summoned Charred Warrior","Creature","","Valheim"
"Charred_Mage","Charred Warlock","Creature","","Valheim"
"Charred_Melee","Charred Warrior","Creature","","Valheim"
"Charred_Melee_Dyrnwyn","<color=orange>Lord Reto</color>","Creature","","Valheim"
"Charred_Melee_Fader","Summoned Charred Warrior","Creature","","Valheim"
"Charred_Twitcher","Charred Twitcher","Creature","","Valheim"
"Charred_Twitcher_Summoned","Summoned Twitcher","Creature","","Valheim"
"CharredBanner1","CharredBanner1","Undefined","","Valheim"
"CharredBanner2","CharredBanner2","Undefined","","Valheim"
"CharredBanner3","CharredBanner3","Undefined","","Valheim"
"CharredBone","Charred Bone","Item","$item_charredbone_description","Valheim"
"CharredCogwheel","Charred Cogwheel","Item","$item_charredcogwheel_description","Valheim"
"Charredskull","Charred Skull","Item","$item_charredskull_description","Valheim"
"chest_hildir1","Hildir's Brass Chest","Item","$item_chest_hildir_description","Valheim"
"chest_hildir2","Hildir's Silver Chest","Item","$item_chest_hildir_description","Valheim"
"chest_hildir3","Hildir's Bronze Chest","Item","$item_chest_hildir_description","Valheim"
"Chicken","Chicken","Creature","","Valheim"
"ChickenEgg","Egg","Item","$item_chicken_egg_description","Valheim"
"ChickenMeat","Chicken Meat","Item","$item_chicken_meat_description","Valheim"
"Chitin","Chitin","Item","$item_chitin_description","Valheim"
"cliff_ashlands_Arch_frac","cliff_ashlands_Arch_frac","Undefined","","Valheim"
"cliff_ashlands1","cliff_ashlands1","Undefined","","Valheim"
"cliff_ashlands1_frac","cliff_ashlands1_frac","Undefined","","Valheim"
"cliff_ashlands2","cliff_ashlands2","Undefined","","Valheim"
"cliff_ashlands2_frac","cliff_ashlands2_frac","Undefined","","Valheim"
"cliff_ashlands3_Arch_1","cliff_ashlands3_Arch_1","Undefined","","Valheim"
"cliff_ashlands4","cliff_ashlands4","Undefined","","Valheim"
"cliff_ashlands4_frac","cliff_ashlands4_frac","Undefined","","Valheim"
"cliff_ashlands5","cliff_ashlands5","Undefined","","Valheim"
"cliff_ashlands6","cliff_ashlands6","Undefined","","Valheim"
"cliff_ashlands6_frac","cliff_ashlands6_frac","Undefined","","Valheim"
"cliff_ashlands7_HalfArch","cliff_ashlands7_HalfArch","Undefined","","Valheim"
"cliff_ashlands7_HalfArch_frac","cliff_ashlands7_HalfArch_frac","Undefined","","Valheim"
"cliff_ashlands8","cliff_ashlands8","Undefined","","Valheim"
"cliff_ashlandsflowrock_frac","cliff_ashlandsflowrock_frac","Undefined","","Valheim"
"cliff_mistlands1","cliff_mistlands1","Undefined","","Valheim"
"cliff_mistlands1_creep","cliff_mistlands1_creep","Undefined","","Valheim"
"cliff_mistlands1_creep_frac","cliff_mistlands1_creep_frac","Undefined","","Valheim"
"cliff_mistlands1_frac","cliff_mistlands1_frac","Undefined","","Valheim"
"cliff_mistlands2","cliff_mistlands2","Undefined","","Valheim"
"cliff_mistlands2_frac","cliff_mistlands2_frac","Undefined","","Valheim"
"cloth_hanging_door","cloth_hanging_door","Undefined","","Valheim"
"cloth_hanging_door_double","cloth_hanging_door_double","Undefined","","Valheim"
"cloth_hanging_long","cloth_hanging_long","Undefined","","Valheim"
"Cloudberry","Cloudberries","Food","$item_cloudberries_description","Valheim"
"Club","Club","Weapon","$item_club_description","Valheim"
"Coal","Coal","Item","$item_coal_description","Valheim"
"Coins","Coins","Item","$item_coins_description","Valheim"
"CookedAsksvinMeat","Cooked Asksvin Tail","Food","$item_asksvin_meat_cooked_description","Valheim"
"CookedBoneMawSerpentMeat","Cooked Bonemaw Meat","Food","$item_bonemawmeat_cooked_description","Valheim"
"CookedBugMeat","Cooked Seeker Meat","Food","$item_bug_meat_cooked_description","Valheim"
"CookedChickenMeat","Cooked Chicken Meat","Food","$item_chicken_meat_cooked_description","Valheim"
"CookedDeerMeat","Cooked Deer Meat","Food","$item_deer_meat_cooked_description","Valheim"
"CookedEgg","Cooked Egg","Food","$item_egg_cooked_description","Valheim"
"CookedHareMeat","Cooked Hare Meat","Food","$item_hare_meat_cooked_description","Valheim"
"CookedLoxMeat","Cooked Lox Meat","Food","$item_loxmeat_cooked_description","Valheim"
"CookedMeat","Cooked Boar Meat","Food","$item_boar_meat_cooked_description","Valheim"
"CookedWolfMeat","Cooked Wolf Meat","Food","$item_wolf_meat_cooked_description","Valheim"
"CookedVoltureMeat","Cooked Volture Meat","Food","$item_volture_meat_cooked_description","Valheim"
"Copper","Copper","Item","$item_copper_description","Valheim"
"CopperOre","Copper Ore","Item","$item_copperore_description","Valheim"
"CopperScrap","Copper Scrap","Item","$item_copperscrap_description","Valheim"
"CreepProp_egg_hanging01","CreepProp_egg_hanging01","Undefined","","Valheim"
"CrossbowArbalest","Arbalest","Weapon","$item_crossbow_arbalest_description","Valheim"
"CrossbowRipper","Ripper","Weapon","$item_crossbow_ripper_description","Valheim"
"CrossbowRipperBlood","Wound Ripper","Weapon","$item_crossbow_ripper_blood_description","Valheim"
"CrossbowRipperLightning","Storm Ripper","Weapon","$item_crossbow_ripper_lightning_description","Valheim"
"CrossbowRipperNature","Root Ripper","Weapon","$item_crossbow_ripper_nature_description","Valheim"
"Crow","Crow","Undefined","","Valheim"
"crypt_skeleton_chest","Ancient Coffin","Undefined","","Valheim"
"CryptKey","Swamp Key","Item","$item_cryptkey_description","Valheim"
"Crystal","Crystal","Item","$item_crystal_description","Valheim"
"Cultivator","Cultivator","Item","$item_cultivator_description","Valheim"
"CuredSquirrelHamstring","Cured Squirrel Hamstring","Item","$item_curedsquirrelhamstring_description","Valheim"
"Dandelion","Dandelion","Item","$item_dandelion_description","Valheim"
"Deathsquito","Deathsquito","Creature","","Valheim"
"Deer","Deer","Creature","","Valheim"
"DeerHide","Deer Hide","Item","$item_deerhide_description","Valheim"
"DeerMeat","Deer Meat","Item","$item_deer_meat_description","Valheim"
"DeerStew","Deer Stew","Food","$item_deerstew_description","Valheim"
"Demister","Wisplight","Item","$item_demister_description","Valheim"
"Dragon","Moder","Creature","","Valheim"
"DragonEgg","Dragon Egg","Item","$item_dragonegg_description","Valheim"
"DragonTear","Dragon Tear","Item","$item_dragontear_description","Valheim"
"Draugr","Draugr","Creature","","Valheim"
"draugr_arrow","Ironhead arrow","Item","Fire it with a bow.","Valheim"
"Draugr_Elite","Draugr Elite","Creature","","Valheim"
"Draugr_Ranged","Draugr","Creature","","Valheim"
"dungeon_sunkencrypt_irongate_rusty","Iron Gate","Undefined","","Valheim"
"Dverger","Dvergr Rogue","Creature","","Valheim"
