Prefab,Name,Mod,Station,Station Lvl,Skill Level,Recipe,DMG,Armor,Block,Weight,Durability,Tier,World Level,Rarity
kg_EnchantScroll_Weapon_Blessed_A,Blessed Enchant Scroll: Weapon (A),Valheim Enchantment System,Scroll Station,1,,"GoblinScraps_TW x5, LoxBone_TW x5, InfusedCrystal_JH x9, kg_EnchantScroll_Weapon_A x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_Blessed_B,Blessed Enchant Scroll: Weapon (B),Valheim Enchantment System,Scroll Station,1,,"WolfPelt x5, WolfHairBundle x5, InfusedCrystal_JH x8, kg_EnchantScroll_Weapon_B x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_Blessed_C,Blessed Enchant Scroll: Weapon (C),Valheim Enchantment System,Scroll Station,1,,"RottenPelt_TW x5, Chitin x5, InfusedCrystal_JH x7, kg_EnchantScroll_Weapon_C x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_Blessed_D,Blessed Enchant Scroll: Weapon (D),Valheim Enchantment System,Scroll Station,1,,"RazorbackLeather_TW x5, GreydwarfEye x5, InfusedCrystal_JH x6, kg_EnchantScroll_Weapon_D x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_Blessed_F,Blessed Enchant Scroll: Weapon (F),Valheim Enchantment System,Scroll Station,1,,"DeerHide x5, Flint x5, InfusedCrystal_JH x5, kg_EnchantScroll_Weapon_F x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_Blessed_S,Blessed Enchant Scroll: Weapon (S),Valheim Enchantment System,Scroll Station,1,,"Eitr x5, JuteBlack_TW x5, InfusedCrystal_JH x10, kg_EnchantScroll_Weapon_S x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_C,Enchant Scroll: Weapon (C),Valheim Enchantment System,Scroll Station,1,,"RottenPelt_TW x2, Guck x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_D,Enchant Scroll: Weapon (D),Valheim Enchantment System,Scroll Station,1,,"RazorbackLeather_TW x2, BoneFragments x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_F,Enchant Scroll: Weapon (F),Valheim Enchantment System,Scroll Station,1,,"DeerHide x2, Resin x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
kg_EnchantScroll_Weapon_S,Enchant Scroll: Weapon (S),Valheim Enchantment System,Scroll Station,1,,"Eitr x2, Softtissue x5, InfusedCrystal_JH x1",,,Power,0.1,maxDurability,,,
KnifeBronze_TW,Bronze Knife,Warfare,,2,,"RazorbackTusk_TW x5, Bronze x10, TrophyGreydwarfShaman x1",32,,Power,0.3,maxDurability,,,
KnifeButcher,Butcher Knife,Valheim,,1,,"Wood x2, Tin x4",0,,Power,0.3,maxDurability,1,,
KnifeChitin,Abyssal Razor,Valheim,,2,,"ElderBark x8, Chitin x20, LeatherScraps x4",36,,Power,0.3,maxDurability,,,
KnifeCopper,Copper Knife,Valheim,,1,,"Wood x2, Copper x8, GreydwarfEye x0",24,,Power,0.3,maxDurability,1,,
KnifeFlint,Flint Knife,Valheim,,1,,"Wood x2, Flint x4, LeatherScraps x2",10,,Power,0.3,maxDurability,,,
KnifeIron_TW,Iron Knife,Warfare,,2,,"ElderBark x12, Iron x20, TrophyLeech x1",44,,Power,0.3,maxDurability,,,
KnifeNjord_TW,Njord Knife,WarfareFireAndIce,,1,,"TyraniumBar_TW x20, RuneRage_TW x14, JotunnEye_TW x8, TrophyJotunnShaman_TW x1",135,,Power,0.3,maxDurability,,,
KnifeSilver,Silver Knife,Valheim,,3,,"Wood x2, Silver x10, LeatherScraps x3, Iron x2",62,,Power,0.3,maxDurability,3,,
KnifeSkollAndHati,Skoll and Hati,Valheim,,1,,"FineWood x4, Iron x10, BlackMetal x10",90,,Power,0.3,maxDurability,4,,
KnifeSurtr_TW,Surtr Knife,WarfareFireAndIce,,1,,"RagnoriteBar_TW x20, RuneDestruction_TW x14, DemonicSoulstone_TW x8, TrophySurtrSeer_TW x1",135,,Power,0.3,maxDurability,,,
KnifeViper_TW,Viper,Warfare,,2,,"Bronze x0, Bronze x0, Bronze x0, Iron x0, Iron x0, Iron x0, Iron x0, Silver x0, Silver x0, Silver x0, Silver x0, HardAntler x0, HardAntler x0, HardAntler x0, Root x0, Root x0, Root x0, Root x0, WolfClaw x0, WolfClaw x0, WolfClaw x0, WolfClaw x0, SurtlingCore x0, SurtlingCore x0, SurtlingCore x0, WitheredBone x0, WitheredBone x0, WitheredBone x0, WitheredBone x0, WolfHairBundle x0, WolfHairBundle x0, WolfHairBundle x0, WolfHairBundle x0, TrophyAsmodeus_TW x0, TrophyAsmodeus_TW x0, TrophyAsmodeus_TW x0, TrophyAbomination x0, TrophyAbomination x0, TrophyAbomination x0, TrophyAbomination x0, TrophyFenring x0, TrophyFenring x0, TrophyFenring x0, TrophyFenring x0",31,,Power,0.3,maxDurability,,,
KnifeWrench_TW,Knifewrench,Warfare,,3,,"Iron x18, IronNails x60, TrophyDraugr x1",34,,Power,0.3,maxDurability,,,
knightchest,Knight's Armor,SouthsilArmor,,3,,"Chain x5, Iron x25, LeatherScraps x30",,,Power,10,maxDurability,,,
knighthelm,Knight's Helm,SouthsilArmor,,3,,"Iron x25, TrophySerpent x1",,,Power,1,maxDurability,,,
knightlegs,Knight's Leggings,SouthsilArmor,,3,,"Chain x5, Iron x25, Guck x10, TrophyWraith x1",,,Power,10,maxDurability,,,
lagichest,Flame Drake Chestpiece,SouthsilArmor,,1,,"BlackMetal x30, FlametalNew x30, DragonEgg x5",,,Power,10,maxDurability,,,
lagihelmalt,Flame Drake Helm,SouthsilArmor,,1,,"TrophyDragonQueen x1, FlametalNew x30, BlackMetal x30",,,Power,1,maxDurability,,,
lagipants,Flame Drake Leg Armor,SouthsilArmor,,1,,"BlackMetal x30, FlametalNew x30, DragonEgg x5",,,Power,10,maxDurability,,,
LanceBlackmetal_TW,Blackmetal Lance,Warfare,,4,,"FineWood x40, BlackMetal x25, ProwlerFang_TW x10, TrophyLox x1",111,,Power,2.5,maxDurability,,,
LanceDvergr_TW,Dwarven Lance,Warfare,,1,,"YggdrasilWood x40, Eitr x15, DarkCrystal_TW x8, TrophyGjall x1",147,,Power,2.5,maxDurability,,,
LanceNjord_TW,Njord Lance,WarfareFireAndIce,,1,,"TyraniumBar_TW x25, RuneRage_TW x18, BorealPineWood_TW x30, TrophyArcticMammoth_TW x1",200,,Power,2.5,maxDurability,,,
LanceSurtr_TW,Surtr Lance,WarfareFireAndIce,,1,,"RagnoriteBar_TW x25, RuneDestruction_TW x18, BorealPineWood_TW x30, TrophySurtrLegionnaire_TW x1",200,,Power,2.5,maxDurability,,,
Lantern,Dvergr Lantern,Valheim,,1,,"Bronze x2, SurtlingCore x1, Crystal x1",,,Power,2,maxDurability,,,
LeatherBelt,Leather Belt,Epic Loot,,1,,"LeatherScraps x10, DeerHide x5",,,Power,0.5,maxDurability,,,0
LeatherFistsHTD,Leather Fist Wraps,Hugos Armory,,1,,LeatherScraps x4,17,,Power,2,maxDurability,1,,
Lesser_Group_Healing,Brew of Faint Group Healing,PotionsPlus,,1,,"Honey x1, Mushroom x2",,,Power,1,maxDurability,,,
Lesser_Healing_Tide_Vial,Lesser Healing Tide Vial,PotionsPlus,,1,,"Honey x2, Raspberry x4",,,Power,1,maxDurability,,,
Lesser_Spiritual_Healing_Vial,Lesser Spiritual Healing Vial,PotionsPlus,,1,,"Dandelion x2, Raspberry x4",,,Power,1,maxDurability,,,
Lesser_Stamina_Vial,Lesser Stamina Vial,PotionsPlus,,1,,"Honey x2, Mushroom x4",,,Power,1,maxDurability,,,
LightningBlade_TW,Lightning Blade,WarfareFireAndIce,,1,,"ThoradusBar_TW x30, RuneWrath_TW x16, FenrirArtifact_TW x12, TrophyStormFenring_TW x1",205,,Power,4,maxDurability,,,
loxhuntchest,Loxgol Armor,SouthsilArmor,,4,,"Coins x950, BlackMetal x20, JuteRed x20, TrophyGoblinShaman x1",,,Power,10,maxDurability,,,
loxhunthelm,Golden Lox Mask,SouthsilArmor,,4,,"Coins x950, BlackMetal x20, TrophyLox x2",,,Power,1,maxDurability,,,
loxhuntlegs,Loxgol Leggings,SouthsilArmor,,4,,"Coins x950, BlackMetal x20, JuteRed x20, TrophyGoblinShaman x1",,,Power,10,maxDurability,,,
LoxJerky_JH,Lox Jerky,WackysDatabase,,4,,"LoxMeat x2, Honey x2, Cloudberry x1",,,Power,0.5,maxDurability,,,
LoxPie,Lox Meat Pie,Valheim,,1,,"Cloudberry x2, LoxMeat x2, BarleyFlour x4",,,Power,1,maxDurability,,,
MaceBronze,Bronze Mace,Valheim,,1,,"Wood x4, Bronze x8, LeatherScraps x3",35,,Power,2,maxDurability,1,,
MaceChitin_TW,Abyssal Hammer,Warfare,,1,,"ElderBark x10, Chitin x20, Bronze x8",45,,Power,2,maxDurability,,,
MaceDvergr_TW,Dwarven Mallet,Warfare,,1,,"YggdrasilWood x25, Carapace x15, Eitr x12, TrophyDvergr x2",117,,Power,2,maxDurability,,,
MaceEldner,Flametal Mace,Valheim,,3,,"CharredBone x10, FlametalNew x15, SulfurStone x5, AskHide x3",135,,Power,2,maxDurability,6,,
MaceFlint_TW,Flint Mace,Warfare,,1,,"Wood x6, Flint x8, FoxPelt_TW x0",20,,Power,2,maxDurability,,,
MaceIron,Iron Mace,Valheim,,2,,"Wood x4, Iron x20, LeatherScraps x3",55,,Power,2,maxDurability,2,,
MaceNeedle,Porcupine,Valheim,,4,,"FineWood x5, Iron x20, Needle x5, LinenThread x10",95,,Power,2,maxDurability,4,,
MaceNjord_TW,Njord Mace,WarfareFireAndIce,,1,,"TyraniumBar_TW x20, RuneRage_TW x14, BorealWood_TW x12, TrophyArcticSerpent_TW x1",160,,Power,2,maxDurability,,,
MaceSilver,Frostner,Valheim,,3,,"ElderBark x10, Silver x30, YmirRemains x5, FreezeGland x5",95,,Power,2,maxDurability,3,,
MaceSurtr_TW,Surtr Hammer,WarfareFireAndIce,,1,,"RagnoriteBar_TW x20, RuneDestruction_TW x14, BorealWood_TW x12, TrophyDaggerFang_TW x1",160,,Power,2,maxDurability,,,
MagicallyStuffedShroom,Stuffed Mushroom,Valheim,,1,,"MushroomMagecap x3, GiantBloodSack x1, Turnip x2",,,Power,1,maxDurability,,,
MagusBackpack,Magus Backpack,Valheim,,1,,"FabricBundle_Mountain_TW x2, Silver x2",,,Power,4,maxDurability,,,
MarinatedGreens,Marinated Greens,Valheim,,6,,"Sap x3, MushroomMagecap x2, Fiddleheadfern x2, MushroomSmokePuff x2",,,Power,1,maxDurability,,,
MashedMeat,Mashed Meat,Valheim,,6,,"AsksvinMeat x1, VoltureMeat x1, Fiddleheadfern x1",,,Power,1,maxDurability,,,
MeadBaseBugRepellent,Mead Base: Anti-Sting,Valheim,,1,,"Cloudberry x10, Fish7 x3, FragrantBundle x1",,,Power,1,maxDurability,,,
MeadBaseBzerker,Mead base: Berserkir,Valheim,,1,,"Mushroom x10, MushroomYellow x10, MushroomBzerker x1",,,Power,1,maxDurability,,,
MeadBaseEitrBlackForest_TW,Mead base: Small eitr mead,Wizardry,,1,,"MeadTasty x3, MushroomWitcheye_TW x5, Honey x10",,,Power,1,maxDurability,,,
MeadBaseEitrLingering,Mead Base: Lingering Eitr,Valheim,,1,,"Sap x10, Vineberry x10, MushroomMagecap x10",,,Power,1,maxDurability,,,
MeadBaseEitrMinor,Mead Base: Minor Eitr,Valheim,,1,,"Honey x10, Sap x5, MushroomJotunPuffs x2, MushroomMagecap x5",,,Power,1,maxDurability,,,
MeadBaseEitrMountain_TW,Mead base: Medium eitr mead,Wizardry,,1,,"MeadTasty x3, MushroomWizardbutter_TW x5, Honey x10",,,Power,1,maxDurability,,,
MeadBaseFrostResist,Mead Base: Frost Resistance,Valheim,,1,,"Honey x10, Thistle x5, Bloodbag x2, GreydwarfEye x1",,,Power,1,maxDurability,,,
MeadBaseHasty,Mead base: Ratatosk,Valheim,,1,,"Honey x10, Blueberries x10, CuredSquirrelHamstring x1",,,Power,1,maxDurability,,,
MeadBaseHealthLingering,Mead Base: Lingering Health,Valheim,,1,,"Sap x10, Vineberry x10, MushroomSmokePuff x10",,,Power,1,maxDurability,,,
MeadBaseHealthMajor,Mead Base: Major Healing,Valheim,,1,,"Honey x10, GiantBloodSack x4, RoyalJelly x5",,,Power,1,maxDurability,,,
MeadBaseHealthMedium,Mead Base: Medium Healing,Valheim,,1,,"Honey x10, Bloodbag x4, Raspberry x10, Dandelion x1",,,Power,1,maxDurability,,,
MeadBaseHealthMinor,Mead Base: Minor Healing,Valheim,,1,,"Honey x10, Blueberries x5, Raspberry x10, Dandelion x1",,,Power,1,maxDurability,,,
MeadBaseLightFoot,Mead Base: Lightfoot,Valheim,,1,,"ScaleHide x2, Feathers x5, MushroomMagecap x5",,,Power,1,maxDurability,,,
MeadBaseLightningResist_TW,Mead base: Lightning resistance,Warfare,,1,,"Honey x12, Barley x5, Flax x7",,,Power,1,maxDurability,,,
MeadBaseLingeringStaminaMedium_TW,Mead base: Medium lingering stamina,Warfare,,1,,"MeadTasty x3, Cloudberry x5, Honey x10",,,Power,1,maxDurability,,,
MeadBaseLingeringStaminaMinor_TW,Mead base: Minor lingering stamina,Warfare,,1,,"MeadTasty x3, MushroomYellow x5, Honey x10",,,Power,1,maxDurability,,,
MeadBaseNoise_JH,Mead Base Noise Reduction,WackysDatabase,,1,,"MeadTasty x3, TrollHide x5, Honey x10",,,Power,1,maxDurability,,,
MeadBasePoisonResist,Mead Base: Poison Resistance,Valheim,,1,,"Honey x10, Thistle x5, NeckTail x5, Coal x10",,,Power,1,maxDurability,,,
MeadBaseStaminaLingering,Mead Base: Lingering Stamina,Valheim,,1,,"Sap x10, Cloudberry x10, MushroomJotunPuffs x10",,,Power,1,maxDurability,,,
MeadBaseStaminaMedium,Mead Base: Medium Stamina,Valheim,,1,,"Honey x10, Cloudberry x10, MushroomYellow x10",,,Power,1,maxDurability,,,
MeadBaseStaminaMinor,Mead Base: Minor Stamina,Valheim,,1,,"Honey x10, Raspberry x10, MushroomYellow x10",,,Power,1,maxDurability,,,
MeadBaseStrength,Mead Base: Troll Endurance,Valheim,,1,,"Fish5 x2, Honey x10, PowderedDragonEgg x1",,,Power,1,maxDurability,,,
MeadBaseSwimmer,Mead Base: Vananidir,Valheim,,1,,"Dandelion x10, Fish1 x2, FreshSeaweed x1",,,Power,1,maxDurability,,,
MeadBaseTamer,Mead Base: Animal Whispers,Valheim,,1,,"Onion x5, Carrot x10, PungentPebbles x1",,,Power,1,maxDurability,,,
MeadBaseTasty,Mead Base: Tasty,Valheim,,1,,"Honey x10, Dandelion x5, Raspberry x5, Blueberries x5",,,Power,1,maxDurability,,,
MeatPieUncooked_TW,Uncooked Meat Pie,MonstrumDeepNorth,,1,,"MammothMeat_TW x1, ArcticBearSteak_TW x1, PrimalLeak_TW x2, Helweed_TW x3",,,Power,1,maxDurability,,,
MeatPlatter,Meat Platter,Valheim,,1,,"BugMeat x1, LoxMeat x1, HareMeat x1",,,Power,1,maxDurability,,,
MechanicalSpring,Mechanical Spring,Valheim,,1,,"Eitr x1, Iron x3",,,Power,5,maxDurability,,,
Medium_Group_Healing,Brew of Group Healing,PotionsPlus,,1,,"Honey x2, Mushroom x4",,,Power,1,maxDurability,,,
Medium_Healing_Tide_Flask,Medium Healing Tide Flask,PotionsPlus,,1,,"Resin x6, Blueberries x4, Bloodbag x2",,,Power,1,maxDurability,,,
Medium_Spiritual_Healing_Flask,Medium Spiritual Healing Flask,PotionsPlus,,1,,"Ooze x2, BoneFragments x4, Bloodbag x2",,,Power,1,maxDurability,,,
Medium_Stamina_Flask,Medium Stamina Flask,PotionsPlus,,1,,"Resin x4, Blueberries x4, Bloodbag x2",,,Power,1,maxDurability,,,
MeldursonCape,Mantle of the Beast King,the deadliest of predators his allies,,2,,"RawMeat x200, Mushroom x200, Carrot x200, DragonEgg x1, TrophyDragonQueen x1, TrophyHatchling x1, TrophySGolem x1, HasTamed_Item x10",,,Power,4,maxDurability,4,,
MinceMeatSauce,Minced Meat Sauce,Valheim,,1,,"RawMeat x1, NeckTail x1, Carrot x1",,,Power,1,maxDurability,,,
MiningBackpack,Mining Backpack,Valheim,,1,,"Bronze x5, DeerHide x10, LeatherScraps x10, Iron x0, ElderBark x0, Guck x0, Silver x0, WolfPelt x0, JuteRed x0, BlackMetal x0, LinenThread x0, LoxPelt x0, Iron x0, Carapace x0, Mandible x0",,,Power,4,maxDurability,,,
MisthareSupreme,Misthare Supreme,Valheim,,1,,"HareMeat x1, MushroomJotunPuffs x3, Carrot x2",,,Power,1,maxDurability,,,
MixedGrill_TW,Mixed Grill,Monstrum,,2,,"BearSteak_TW x1, Sausages x1, WolfMeat x1, FoxMeat_TW x1",,,Power,1,maxDurability,,,
mmo_mead_greater,XP Mead Greater,EpicMMOSystem,,1,,"Mob_chunks x1, mmo_orb5 x2",,,Power,1,maxDurability,,,
mmo_mead_med,XP Mead Medium,EpicMMOSystem,,1,,"Mob_chunks x1, mmo_orb3 x2",,,Power,1,maxDurability,,,
mmo_mead_minor,XP Mead Minor,EpicMMOSystem,,1,,"Mob_chunks x1, mmo_orb1 x2",,,Power,1,maxDurability,,,
Mob_chunks,Mob Chunks,EpicMMOSystem,,1,,"TrophyBoar x2, TrophyNeck x2, TrophyDeer x2, TrophyFox_TW x2, TrophySheep_TW x2, TrophyFrostTroll x1, TrophyRazorback_TW x2, TrophyBlackBear_TW x2, TrophyGreydwarfBrute x2, TrophyGreydwarfShaman x2, TrophyCrawler_TW x2, TrophyRottingElk_TW x2, TrophyBlob x2, TrophySurtling x2, TrophyGreydwarf x2, TrophyDraugr x2, TrophyLeech x2, TrophyWraith x1, TrophyDraugrElite x1, TrophyAbomination x1, TrophySkeleton x2, TrophySkeletonPoison x1, TrophySerpent x1, TrophyWolf x2, TrophyUlv x2, TrophyCultist x1, TrophyFenring x1, TrophyObsidianGolem_TW x1, TrophySGolem x1, TrophyGrizzlyBear_TW x2, TrophyProwler_TW x1, TrophyShark_TW x2, TrophyLox x1, TrophyDeathsquito x2, TrophyGoblin x2, TrophyGrowth x2, TrophyGoblinBrute x1, TrophyGoblinShaman x1, TrophyHare x2, TrophySeeker x2, TrophyTick x2, TrophyDvergr x2, TrophySeekerBrute x1, TrophyGjall x1, TrophyAsksvin x1, TrophyBonemawSerpent x1, TrophyCharredArcher x2, TrophyCharredMage x2, TrophyCharredMelee x2, TrophyFallenValkyrie x1, TrophyMorgen x1, TrophyVolture x2, TrophySkeletonHildir x1, TrophyCultist_Hildir x1, TrophyGoblinBruteBrosBrute x1, TrophyGoblinBruteBrosShaman x1, TrophyJotunnBrute_TW x1, TrophyJotunnJuggernaut_TW x1, TrophyJotunnShaman_TW x2, TrophyJotunnBladefist_TW x2, TrophyArcticBear_TW x2, TrophyArcticMammoth_TW x1, TrophyStormFenring_TW x1, TrophyStormCultist_TW x1, TrophyArcticWolf_TW x2, TrophyArcticGolem_TW x1, TrophyArcticSerpent_TW x1, TrophyGorr_TW x1, TrophySythrak_TW x1, TrophySurtrBrute_TW x1, TrophySurtrLegionnaire_TW x1, TrophySurtrHound_TW x2, TrophySurtrImp_TW x2, TrophySurtrDrake_TW x2, TrophySurtrSeer_TW x2, TrophySurtrWarbringer_TW x1, TrophyDaggerFang_TW x1, TrophyBrutalis_TW x1",,,Power,1,maxDurability,,,
MushroomOmelette,Mushroom Omelette,Valheim,,5,,"ChickenEgg x3, MushroomJotunPuffs x3",,,Power,1,maxDurability,,,
MushroomSoup_JH,Mushroom Soup,WackysDatabase,,1,,"Mushroom x5, MushroomYellow x5",,,Power,1,maxDurability,,,
mythrillchest,Majesty of the Wild,Silver and Gold with an almost ethereal glow eminates from you as the furs of the mountain kin warm your core. Robes dipped in the blood of the ellusive amethyst trolls conceal your scent downwind.,,2,,"Arcanium x2, HasTamed_Item x10",,,Power,10,maxDurability,2,,
mythrillhead,Sight of the Wild,stronger and lighter than steel,,2,,"Arcanium x2, HasTamed_Item x10",,,Power,4,maxDurability,,,
mythrilllegs,Stride of the Wild,the perfect combination for tracking your prey unheard and unseen. A runed satchel filled with medicinal herbs and potions adorns your thigh.,,2,,"Arcanium x2, HasTamed_Item x10",,,Power,0.4,maxDurability,4,,
neckchest,Neck-King Armor,SouthsilArmor,,2,,"DeerHide x10, Dandelion x8, BoneFragments x8, TrophyNeck x1",,,Power,10,maxDurability,,,
neckhelm,Neck-King Crown,SouthsilArmor,,2,,"DeerHide x10, AmberPearl x3, Ruby x1, TrophyBoar x2",10,,Power,3,maxDurability,,,
NeckJerky_JH,Neck Jerky,WackysDatabase,,1,,"NeckTail x1, Honey x1",,,Power,1,maxDurability,,,
NecklaceTyr_TW,Valor,WarfareFireAndIce,,1,,"FenrirArtifact_TW x16, YmirIdol_TW x10, JotunnEye_TW x14, TrophyBrutalis_TW x1",,,Power,0,maxDurability,,,
necklegs,Skirt of Neck tails,SouthsilArmor,,2,,"DeerHide x10, NeckTail x20, BoneFragments x8, LeatherScraps x10",,,Power,10,maxDurability,,,
NecroTechBow,Arc Wing,this Arc weapon can project a precise bolt of energy to eliminate priority targets.,,2,,"Arcanium x1, HasRefiner_Item x1, FlametalNew x1",180,,Power,1.5,maxDurability,5,,
NeedleBlade,Needle Blade,SagesVault,,3,,"Needle x5, BlackMetal x10, SilverNecklace x1",40,,Power,0.3,maxDurability,,,
ninebytecloak,Elven Cloak,woven by Galadriel,,2,,"AncientSeed x9, LinenThread x9, CapeLinen x1, Eitr x9",,,Power,0.9,maxDurability,2,,
ninebytePack,Shire Weaved Pack,Many o' things to fit!,,2,,"TrollHide x1, Feathers x10, DeerHide x10, AncientSeed x9",,,Power,9,maxDurability,2,,
norahchest,Shieldmaiden's Surcoat,SouthsilArmor,,3,,"Iron x10, LinenThread x25, Chain x3",,,Power,10,maxDurability,,,
norahhelm,Shieldmaiden's Headdress,SouthsilArmor,,3,,"Iron x10, LinenThread x25, Coins x300",10,,Power,3,maxDurability,,,
norahhelmalt,Shieldmaiden's Hood,SouthsilArmor,,3,,"WolfHairBundle x10, LinenThread x25, TrophyGreydwarfShaman x5, Iron x0",10,,Power,3,maxDurability,,,
norahlegs,Shieldmaiden's Skirt,SouthsilArmor,,3,,"Iron x10, LinenThread x25, JuteRed x5, LeatherScraps x0",,,Power,10,maxDurability,,,
NoviceBackpack,Novice Backpack,Valheim,,1,,"FabricBundle_Blackforest_TW x2, Bronze x2",,,Power,4,maxDurability,,,
ntrifle,Arc Rifle,these ancient weapons discharge with a loud crack,,2,,"Arcanium x1, HasRefiner_Item x1, FlametalNew x1",80,,Power,0.3,maxDurability,5,,
NTServoDemister,Omni-Servo-Skull,given a rudimentary Machine Spirit,,2,,"Arcanium x1, HasRefiner_Item x1, FlametalNew x1",,,Power,0.1,maxDurability,,,
NTSTAFF,Staff of the Artificer,these holy relics are not only a symbol of rank within the Mechanicus,,2,,"Arcanium x1, HasRefiner_Item x1, FlametalNew x1",200,,Power,0.3,maxDurability,5,,
ObsidianGreatSwordHTD,Moder's Sorrow,Hugos Armory,,1,,"DragonTear x1, Obsidian x20, FreezeGland x30, Crystal x20",168,,Power,8,maxDurability,4,,
obswolfchest,Heavy Fenrir Armor,SouthsilArmor,,1,,"BlackMetal x30, Obsidian x30, WolfHairBundle x20, SilverNecklace x1",,,Power,10,maxDurability,,,
obswolfhelm,Heavy Fenrir Helm,SouthsilArmor,,1,,"BlackMetal x30, Obsidian x30, TrophyUlv x5, Ruby x1, WolfHairBundle x0",10,,Power,3,maxDurability,,,
obswolflegs,Heavy Fenrir Boots,SouthsilArmor,,1,,"BlackMetal x30, Obsidian x30, WolfHairBundle x20, JuteBlue x10",,,Power,10,maxDurability,,,
Odins_Alchemy_Wand,Odins Alchemy Wand,PotionsPlus,,2,,"FineWood x8, Copper x3, SurtlingCore x1",5,,Power,2,maxDurability,,,
Odins_Dragon_Staff,Odins Dragon Staff,PotionsPlus,,3,,"Odins_Alchemy_Wand x1, ElderBark x40, BlackMetal x40, SurtlingCore x1",19,,Power,1,maxDurability,,,
Odins_Warlock_Hat,Odins Warlock Hat,PotionsPlus,,5,,"LinenThread x20, SurtlingCore x5",20,,Power,1,maxDurability,,,
Odins_Weapon_Oil,Odins Weapon Oil,PotionsPlus,,1,,"Tar x8, Crystal x1",,,Power,1,maxDurability,,,
Odins_Wizard_Hat,Odins Wizard Hat,PotionsPlus,,5,,"LinenThread x20, SurtlingCore x5",20,,Power,1,maxDurability,,,
PhilosopherStoneBlue,Sapphire Philosopher's Stone,PotionsPlus,,1,,Flask_of_Elements x5,,,Power,10,maxDurability,,,
